sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
2121,135.563,187.587,155.473,131.076,14.435,41.6176,59.8191,36.8297,225.573,87.8667,130.622,503.742,525.339,6262.48,7133.42,41.6303,-41.0046,-26.1646,151.129,66.1923,6.28119,-73.276,-29.4421,5.3097,28.3119,150.242,-151.129,24.1946,-18.9643,train
2122,18.0788,161.023,51.0317,127.217,198.99,59.5296,38.1804,135.841,163.381,18.5669,116.537,289.377,388.888,3571.51,3655.35,76.5538,-72.3713,-31.3997,332.424,332.424,2.16714,-128.554,-20.0037,2.87079,5.86193,135.811,-32.4408,22.0277,-26.5796,train
2123,1.53141,66.3399,191.87,183.916,148.687,127.827,132.517,205.39,143.803,195.543,169.685,254.575,408.957,6380.68,9790,38.4871,-35.0801,-13.2052,295.819,295.819,20.72,-58.7575,-6.36807,-21.9517,10.7533,93.1456,14.4095,11.5179,-9.94116,train
2124,111.67,19.7839,89.4829,102.886,36.8085,42.8304,178.474,67.218,154.068,19.4365,110.596,538.418,486.087,5257.62,4789.77,51.3791,-49.2739,-19.0256,130.449,83.6429,34.9601,-130.449,-45.6089,-20.0029,16.1485,49.8319,-83.2364,43.0734,-50.3249,train
2125,136.498,76.6462,147.242,165.474,104.486,156.243,191.524,27.717,64.6294,42.2589,75.6646,498.797,470.934,7249.14,8271.21,62.9656,-61.6269,-24.9881,88.3403,48.8349,25.0739,-88.3403,-18.5296,-13.2867,12.3002,59.2153,-85.6114,67.0933,-64.3144,train
2126,2.12629,164.739,132.934,187.719,125.367,58.9357,153.317,221.622,199.506,142.595,142.911,519.487,224.743,5758.12,8876.48,69.7927,-65.8026,-21.9042,451.584,451.584,15.2318,-126.919,-14.3065,-55.2003,42.5765,107.71,27.0223,19.037,-24.8863,test
2127,186.535,99.795,212.842,50.2254,73.3335,57.735,221.515,114.405,109.73,143.179,98.4117,510.509,380.929,3648.21,5047.9,32.7396,-31.2743,-11.696,52.8428,43.8848,24.5608,-51.3926,-52.8428,5.82149,42.4533,37.2422,-38.0853,34.2059,-24.2095,train
2128,103.74,187.301,173.852,137.925,179.29,201.261,224.329,40.5892,116.233,96.6275,175.859,395.404,544.199,5331.2,8087.62,19.0843,-18.5898,-8.58858,67.3659,53.9081,9.5871,-67.3659,-15.6489,-2.90025,8.9221,48.9058,-57.0848,26.261,-26.281,test
2129,191.716,101.34,171.666,123.941,107.467,136.075,109.187,135.798,77.9516,57.1134,147.205,265.988,345.362,7148.87,8953.48,14.8997,-14.6159,-6.79496,38.3282,30.3272,9.29198,-32.7325,-13.8634,13.363,6.92006,38.3282,-32.8493,31.1725,-23.3167,test
2130,89.2602,127.968,195.642,161.245,211.141,140.903,87.5973,51.155,223.448,129.653,180.046,592.639,357.387,6390.43,9476.51,26.2631,-25.89,-13.6832,103.225,101.197,16.2094,-62.9733,-23.8899,-3.53165,14.7214,103.225,-85.8793,24.3802,-22.6256,train
