sample_id,diameter_mm,length_mm,k_W_mK,h_W_m2K,T_base_C,T_inf_C,heat_rate_W,T_tip_C,fin_efficiency,fin_effectiveness,biot_number,split
943,14.7775,143.054,57.3637,414.271,251.512,22.9179,99.4361,23.6218,0.154124,6.12215,0.0266801,test
944,2.56428,103.849,19.5219,26.0675,161.948,12.9346,0.685552,15.4659,0.209666,34.174,0.000856017,test
945,2.55064,130.8,17.1807,112.113,254.108,11.6207,2.15343,11.6215,0.0752082,15.5024,0.00416106,train
946,7.54218,94.0955,117.729,118.681,114.765,33.2074,9.68734,50.7449,0.440072,22.4013,0.00190079,train
947,14.5033,128.233,108.418,225.761,285.296,35.0152,107.043,56.2905,0.315324,11.4673,0.00755009,test
948,12.6604,102.404,21.2144,9.29053,265.439,20.2819,6.5152,151.097,0.68125,22.7225,0.00138611,train
949,16.8368,129.722,41.0332,49.9325,58.619,32.556,3.9642,37.8598,0.42999,13.6817,0.0051221,train
950,10.8673,40.3112,91.6743,166.619,117.293,22.6062,16.7665,78.9041,0.723446,11.4577,0.00493784,train
951,4.21245,47.2946,129.17,24.4453,81.5888,21.1949,0.831334,70.8052,0.880089,40.4043,0.000199301,test
952,17.1851,47.562,17.5854,6.73191,143.108,17.1234,2.20151,129.478,0.92714,11.1911,0.00164467,train
953,10.2499,107.4,34.6583,304.809,82.6887,37.66,7.54411,37.8049,0.155229,6.66127,0.0225363,train
954,5.37466,36.2188,138.887,14.1097,193.682,9.66475,1.5906,184.297,0.965897,27.0018,0.000136505,train
955,19.0248,130.362,109.236,31.1329,272.881,1.60689,50.8775,171.401,0.745956,21.1918,0.00135555,test
956,11.1925,93.681,123.402,60.4907,115.31,38.2922,10.5905,78.1763,0.670084,23.1044,0.00137163,train
957,10.3521,135.12,125.573,315.46,255.777,32.4046,73.5277,38.5425,0.232991,12.3973,0.00650155,train
958,9.26511,53.9496,95.3353,196.346,218.661,8.69226,37.5298,84.6608,0.555847,13.5024,0.00477045,train
959,15.0364,71.7186,60.0643,6.49719,262.531,4.11539,5.6793,242.754,0.948722,19.0491,0.000406624,train
960,16.5166,53.2361,344.533,27.134,259.739,27.3828,18.3838,252.669,0.979598,13.6093,0.000325195,train
961,3.60266,29.6008,37.2829,64.2229,92.7249,23.797,0.996948,57.783,0.65237,22.0929,0.00155147,train
962,14.2634,96.2309,131.69,326.165,185.835,36.4946,81.9636,57.9984,0.376283,10.5309,0.00883179,test
963,19.0892,80.0113,67.3728,69.9486,245.632,12.6052,56.2306,136.241,0.678483,12.0538,0.00495475,test
964,7.04288,141.295,91.9493,42.2215,236.115,24.6839,11.9923,66.256,0.424418,34.4832,0.000808492,train
965,6.69205,97.6935,108.674,488.208,142.486,36.7786,20.9363,38.0101,0.194196,11.534,0.00751586,train
966,4.41181,74.6174,88.6122,227.498,130.603,23.5833,6.98493,29.1324,0.273364,18.7671,0.00283166,train
967,14.469,141.721,51.9304,215.712,177.48,29.8925,42.7003,32.0509,0.203019,8.15714,0.0150256,test
968,14.9689,142.633,18.4623,10.8641,107.828,26.3602,3.15443,51.7357,0.517767,20.2521,0.00220212,train
969,8.55725,40.1584,40.0207,41.839,86.008,8.91858,2.8749,61.42,0.783873,15.4985,0.00223651,train
970,10.9876,51.7957,75.6038,62.0156,163.841,38.7043,11.4154,123.461,0.781302,15.5136,0.0022532,train
971,3.98736,114.603,268.823,32.3107,275.786,24.0763,7.91992,155.197,0.672484,77.9855,0.000119813,train
972,9.75728,100.04,111.785,38.7315,177.161,8.59182,14.1067,100.079,0.687806,28.8957,0.000845182,train
973,7.28636,148.368,63.9688,13.109,211.208,22.9932,4.90212,96.5029,0.57791,47.6485,0.000373294,test
974,16.1051,43.4564,45.0289,6.94373,144.259,0.967037,2.3239,138.33,0.972193,11.4653,0.000620877,train
